Unnamed: 0,updated,content,rating,version,author,sentiment
0,2025-12-10T21:29:29-07:00,Needs iOS 26 Widget Theming support.,2,6.9.11,airic,negative
1,2025-12-06T15:31:07-07:00,"Just name two:

1. App doesn’t connect after firmware updates.

2. Find My integration doesn’t work.

It doesn’t seem to be a serious App by an international company, but AI generated software by new grad kids.",2,6.9.10,T.J.X.,negative
2,2025-12-06T03:09:59-07:00,Fonctionne correctement si ce n’est le widget complètement useless,4,6.9.10,Mahunon,positive
3,2025-11-27T18:18:24-07:00,I’ve tried to create an account many different times and every time it says network error.,1,6.9.10,Etpmsn3647,negative
4,2025-11-19T00:01:29-07:00,"I use very long complicated passwords managed by a password manager, and the app does not accept the autofill, or pasting. Fake security here, not permitting pasted passwords.",1,6.9.10,floon,negative
5,2025-11-16T20:36:18-07:00,"I got a scooter a year ago and I just got one that came out I think a month ago and I just got it four days ago and my other scooter that’s been out for a year has a lot of settings while the new scooter barely has five and I was hoping they could add more customization to the E3 pro Segway 9 V scooter but otherwise the app is amazing and I can see myself buying sideway products for a law of years. I’m so happy that my friend told me about Segway cause I love driving scooters on a daily basis and yeah, hopefully Segway takes my recommendation into action and thanks.",5,6.9.10,Treatvrgt,positive
6,2025-11-12T20:57:25-07:00,Making me wait 5 seconds asking to join a giveaway before I can turn on my scooter.,2,6.9.10,Arrtthhur,negative
7,2025-11-12T17:58:59-07:00,"Are you kidding me with this??  After spending $1200 on a scooter, you’re telling me that now I have to watch an ad before I can even turn it on?!
Do you realize how crazy that is?  Imagine having to watch an ad before you can start your car!  Or having to watch an ad before you can turn on your stove!
We have already paid for the device, and turning it on and off should not require us to line your pockets with a penny, here and there.
STOP BEING GREEDY! 
This will definitely affect my decision when I purchase my next scooter! 
And if you have yet to purchase yours, let this be a warning!  
Think of having to watch an ad every time you want to turn your scooter on.  
Every. Single. Time.
AVOID SEGWAY.",1,6.9.10,BoyReed,negative
8,2025-11-07T13:20:29-07:00,"Numerous bugs that persist for months or even years. If their attention to the app is indicative of their support of their products, avoid Segway. They don’t care.",1,6.9.9,Papa2336,negative
9,2025-11-02T18:57:41-07:00,国产电动车绑定不了 汉奸,1,6.9.9,肥皂快乐💦,negative
10,2025-11-02T08:54:16-07:00,I use it to ride to school and always charged when I need it and sometimes I forget to charge my scooter but it’s really good for kids,5,6.9.9,Colton rowells review,positive
11,2025-10-23T16:09:32-07:00,"Just downloded this so that I can use my brand new G30 max, but when I click on the ""User agreement"" link, it crashes the app. Terrible right from the start. Might have to return the scooter because it cannot function without an application that doesn't function.",1,6.9.9,NewBlueReview,negative
12,2025-10-21T14:53:33-07:00,"First, let’s talk about the scooter. It is nice smooth and I was wondering if there was a map tracker for the scooter in case you don’t know where it is. Say if you park it at a park but you can’t find it but out all that this scooter is really nice Thank you ninebot you just made my biggest wish come true",5,6.9.8,Kydjax13,positive
13,2025-10-17T18:12:02-07:00,"This app is absolutely horrible. 

From constantly getting disconnected from Bluetooth… to having such a difficult time trying to utilize the “features”. 

The creators really need to go back to the drawing board for this one because it’s simply not it.",2,6.9.8,TheBlackDIAMOND1,negative
14,2025-10-03T08:01:48-07:00,i wish that when the scooter or device is in lock that if it gets moved and the alarm goes off that you get a push notification to your phone. i also wish they had an apple watch add to lock and unlock the scooter easier. i also would like if the bluetooth range to the scooter was farther.,2,6.9.8,ThompGuy,negative
15,2025-10-01T15:25:46-07:00,"The app has so much potential it doesn’t reach: Can’t change the drive mode of my scooter! Doesn’t have ride history! Most instructions refer to the wrong scooter model and are useless! Only connects to the scooter if the scooter is turned on (even though the scooter beeps when I start the app). It says I can turn the tail lights “always on”, but this isn’t true and refers to the ambient light. I could go on and on.",2,6.9.8,GigaDude,negative
16,2025-09-27T22:27:38-07:00,William,5,6.9.8,_Willliam,positive
17,2025-09-24T22:13:17-07:00,"there’s so many bugs and it feels so old. I use my scooter everyday and confuses how can your products be so good and app so bad. Roll out more firmware updates, make it compatible with latest iOS etc. I say this as a regular user and future brand loyalist",2,6.9.8,UziNoMoney,negative
18,2025-09-22T13:23:38-07:00,"My kids love them,and the neighbors do to! My husband even wants the bigger one!",5,6.9.8,Lindseytingle,positive
19,2025-09-21T17:59:54-07:00,The app is awesome. Had a hiccup where it didn’t want to communicate to the scooter but it fixed its self. Got 1200+ miles on my scooter so far.,4,6.9.8,Msj1093,positive
20,2025-09-20T13:59:16-07:00,"I am in shock. Purchased two scooters one for kids one for myself. Spent $1,500 and now they are paperweights. This company doesn’t allow their products to work without being activated through the app. Unfortunately the app WONT ALLOW LOGINS!!!! Making the devices completely useless. It’s unreal! How is this legal?  How are they getting away with this???",1,6.9.8,jswilf,negative
21,2025-09-11T19:24:31-07:00,Worst app I have ever used on any platform. Full of bugs and refuses to pair via Bluetooth.,1,6.9.8,ScottoandOtto,negative
22,2025-08-27T16:08:42-07:00,I swear the battery on my scooter doesn’t last long they’re making profit off of us buying don’t buy nun to,2,6.9.7,Thenifhtman,negative
23,2025-08-20T15:07:24-07:00,"I’ve only been on the app for like 2 days and everything has been good until last night. While in the app I got a constant message pop up saying “Please check tire pressure in time, or the riding range may be decreased…” I’ll hit got it thinking it’ll go away and it immediately pops back up. I’ve checked the tire pressure and they’re fine. I can’t even use the app because of this and it’s extremely annoying. If it wasn’t for this I think the app would be a 5/5 honestly",2,6.9.7,Cameron330,negative
24,2025-08-14T17:00:51-07:00,"App showing fake range! G5 will ride 80Km!!?? What, a total lie!!

1.Annoying message - no internet!!! I never give this app an internet!! Just don’t ever show me that there is no internet! This message is blocking view!!! 2) Also: I need a button on the main screen - which will allow once a charge to 100% without changing charge limit settings. So for example, if I have a charge limit set to 80% and I press charge to max(100%) button then this time until I disconnect cable charging will be up to 100%, only this time. So I don’t need to go to setting and change charge limit to 100 and then go back.. I really need just one tap and charge to 100% right now and only once. 4. Switching between GT2 and G2 in the app, like I want to change settings one then another, is a nightmare! It doesn’t connects to any scoter, which is turned on, both are. Only restarting app helps.

Why GT3 Pro image - shown image of GT3?",1,6.9.7,Olololo13,negative
25,2025-08-13T14:06:23-07:00,"After 6 months of owning my scooter it has seemingly malfunctioned. I can’t pair my scooter to the app anymore, and my scooter is stuck going 10mph. Customer support just keeps saying to send a screenshot or photo of the problem. I can’t take a picture when I need the app open to try and pair them. Waste of money! Never buying a product from them again!",1,6.9.7,Segwaysucks,negative
26,2025-08-01T06:41:56-07:00,Installed. Then the notification of “please check tires …” keep popping up. I cannot use anything at all.,1,6.9.5,Marathoner LG,negative
27,2025-07-28T16:00:08-07:00,The only reason it is not a 5 star is because they took away the track records feature.. Please bring it back.,4,6.9.5,Dear scooter rider,positive
28,2025-07-21T14:25:38-07:00,"Nothing really wrong with it, but I still can’t connect my music to the scooter",2,6.9.5,The calm game,negative
29,2025-07-14T09:11:28-07:00,Zero stars until you bring back ride history. I would like to know how many kms I passed and given the app is connected to the phone gps data should be shown on a map. But the distance travelled during each ride is bare minimum the app should have.,1,6.9.5,Nevensky,negative
